timestamp,scenario_id,scenario,config,ruta,n_alertas,utilidad,critic_rechazos,violaciones,exito,gt_alerts_ok,gt_actions_ok,gt_critic_ok,gt_pass
2026-05-14T17:04:13.902904,S11,Riesgo de helada leve — temperatura lími,sin_inference,estandar,0,0.7915,0,0,True,False,True,True,False
2026-05-14T17:04:13.903113,S12,Mildiu + estrés hídrico simultáneos — pr,sin_inference,estandar,0,0.7915,0,0,True,False,False,True,False
2026-05-14T17:04:13.903327,S13,Estrés térmico + estrés hídrico — verano,sin_inference,estandar,0,0.7915,0,0,True,False,False,True,False
2026-05-14T17:04:13.903447,S14,Triple alerta — mildiu + helada + viento,sin_inference,estandar,0,0.7915,0,0,True,False,False,True,False
2026-05-14T17:04:13.903553,S15,Condiciones post-lluvia intensa — riesgo,sin_inference,estandar,0,0.7915,0,0,True,False,True,False,False
2026-05-14T17:04:13.903833,S01,Condiciones óptimas en La Rioja — verano,sin_prediction,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.904126,S02,Primavera tranquila en Navarra,sin_prediction,estandar,0,0.7915,0,0,True,True,True,True,True
2026-05-14T17:04:13.904362,S03,Otoño templado en Castilla — post-vendim,sin_prediction,estandar,1,0.6575,1,0,True,True,True,True,True
2026-05-14T17:04:13.905084,S04,Mildiu alto en floración — Galicia húmed,sin_prediction,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.905425,S05,Mildiu crítico — humedad extrema y tempe,sin_prediction,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.905866,S06,Mildiu en maduración — septiembre Galici,sin_prediction,urgente,1,0.7845,0,0,True,True,True,True,True
2026-05-14T17:04:13.906231,S07,Estrés hídrico moderado — verano seco La,sin_prediction,urgente,1,0.5565,0,0,True,False,True,True,False
2026-05-14T17:04:13.906594,S08,Estrés hídrico severo — ola de calor Cas,sin_prediction,urgente,1,0.5565,0,0,True,False,True,True,False
